Neighbourhood,Population,Land Area,Density,Population %,Income,Commuting,2nd Language,2nd Language %,Latitudes,Longitudes
Humberlea,4327.0,2.0,2164,-2.0,"30,907",8.7,Italian (11.1%),11.1% Italian,43.7213166,-79.5331605
Humbermede,14778.0,4.35,3397,1.1,"24,297",11.8,Punjabi (9.7%),09.7% Punjabi,,
,,,,,,,,,43.6534817,-79.3839347
Humewood–Cedarvale,27515.0,3.19,8624,-7.8,"40,404",24.2,Spanish (3.6%),03.6% Spanish,43.6883215,-79.4280805
Ionview,13025.0,1.94,6714,-4.0,"25,078",21.1,Filipino (6.5%),06.5% Filipino,43.7359904,-79.2765146
Junction Triangle,6666.0,0.72,9258,-6.0,"28,067",20.0,Portuguese (13.0%),13.0% Portuguese,43.657830399999995,-79.44799570510732
Kensington Market,3740.0,0.36,"10,389",3.0,"23,335",15.0,Cantonese (14.3%),14.3% Cantonese,43.6552136,-79.4022604
Lambton,9654.0,2.74,3523,-3.2,"30,920",14.2,Portuguese (3.9%),03.9% Portuguese,43.6658675,-79.4992242
L'Amoreaux,45862.0,7.15,6414,0.9,"26,375",13.4,Unspecified Chinese (13.9%),13.9% Unspecified Chinese,43.799003,-79.3059669
Lansing,10052.0,3.06,3285,35.0,"46,631",18.7,Persian (4.7%),04.7% Persian,43.7589503,-79.4225555
Lawrence Heights,3769.0,3.2,1178,15.0,"29,867",15.0,Italian (15.0%),15.0% Italian,43.7227784,-79.4509332
Lawrence Manor,13750.0,2.14,6425,7.4,"36,361",15.9,Filipino (7.2%),07.2% Filipino,43.7220788,-79.4375067
Lawrence Park,6653.0,3.64,1828,-5.1,"214,110",8.3,French (0.8%),00.8% French,43.729199,-79.4032525
Ledbury Park,12360.0,2.5,4944,3.5,"83,853",9.5,Filipino (1.4%),01.4% Filipino,,
Leslieville,23567.0,2.69,8761,-7.3,"30,886",19.9,Cantonese (9.4%),09.4% Cantonese,43.6627,-79.3328148
Little Italy,7917.0,0.81,9774,-6.1,"31,231",15.5,Portuguese (17.4%),17.4% Portuguese,43.6552079,-79.4148769
Little Portugal,5013.0,0.49,"10,231",-10.0,"29,224",16.6,Portuguese (23.8%),23.8% Portuguese,43.64741325,-79.43111632546047
Lytton Park,6494.0,1.28,5073,5.0,"127,356",15.1,Serbian (0.9%),00.9% Serbian,43.7159986,-79.412291
Malvern,44324.0,8.86,5003,1.5,"25,677",13.6,Tamil (12.2%),12.2% Tamil,43.8091955,-79.2217008
Maple Leaf,20313.0,4.59,4425,1.4,"27,611",11.8,Italian (13.0%),13.0% Italian,43.7122767,-79.4901977
Maryvale,8800.0,2.28,3860,-3.2,"30,944",12.3,Filipino (4.1%),04.1% Filipino,43.7590508,-79.3102297
Milliken,26272.0,7.19,3654,-2.0,"25,243",12.3,Cantonese (26.6%),26.6% Cantonese,43.8231743,-79.3017626
Moore Park,4474.0,1.13,3959,-2.0,"154,825",11.0,French (1.1%),01.1% French,43.6903876,-79.3832965
Morningside,11472.0,2.79,4112,0.3,"27,139",14.9,Tamil (10.8%),10.8% Tamil,43.7826012,-79.2049579
Mount Dennis,21284.0,3.29,6469,-3.1,"23,910",18.2,Spanish (7.3%),07.3% Spanish,43.6869597,-79.4895513
Newtonbrook,36046.0,8.77,4110,0.3,"33,428",16.6,Russian (8.8%),08.8% Russian,43.795986,-79.4130896
Niagara,6524.0,0.55,"11,862",-4.0,"44,611",21.2,Portuguese (4.0%),04.0% Portuguese,43.6440753,-79.4086982
North York City Centre,10427.0,0.28,"37,239",33.0,"34,330",19.0,Unspecified Chinese (10.1%),10.1% Unspecified Chinese,,
Oakridge,13368.0,1.86,7187,-2.3,"21,155",20.8,Bengali (12.6%),12.6% Bengali,43.6971738,-79.2748232
,,,,,,,,,43.6534817,-79.3839347
,,,,,,,,,43.6534817,-79.3839347
Old Mill/Baby Point,4010.0,1.07,3748,1.0,"110,372",16.1,Ukrainian (4.1%),04.1% Ukrainian,43.6558741,-79.4964941
Parkdale,28367.0,2.03,"13,974",-8.0,"26,314",22.2,Polish (2.9%),02.9% Polish,43.6404954,-79.4368965
Parkway Forest,8498.0,1.71,4970,-2.8,"24,333",21.7,Unspecified Chinese (8.5%),08.5% Unspecified Chinese,43.77166,-79.3426631
Parkwoods,26533.0,4.96,5349,-3.7,"34,811",14.0,Unspecified Chinese (3.4%),03.4% Unspecified Chinese,43.7611243,-79.3240594
Pelmo Park,4402.0,2.2,2001,14.0,"32,002",9.4,Italian (6.7%),06.7% Italian,43.7103728,-79.5085113
Playter Estates,3968.0,0.5,7936,-2.0,"44,557",26.8,Unspecified Chinese (1.8%),01.8% Unspecified Chinese,43.6786661,-79.3555177
Pleasant View,16615.0,3.04,5465,-2.1,"29,250",13.2,Unspecified Chinese (12.7%),12.7% Unspecified Chinese,43.787048,-79.3337137
Port Lands,571.0,6.1,94,-9.0,"36,243",14.9,Mandarin (3.5%),03.5% Mandarin,43.6430648,-79.3506012
Port Union,12450.0,5.39,2310,-1.7,"48,117",11.1,Filipino (1.6%),01.6% Filipino,43.7755039,-79.1349765
Regal Heights,2719.0,0.38,7155,-8.0,"36,652",24.5,Spanish (5.5%),05.5% Spanish,,
Regent Park/Trefann Court,10387.0,0.64,"16,230",-7.1,"19,521",16.0,Bengali (10.5%),10.5% Bengali,43.6598895,-79.3648467
Richview,26053.0,6.51,4002,-4.0,"34,579",10.6,Italian (4.2%),04.2% Italian,43.688589,-79.5428473
Riverdale,31007.0,3.99,7771,-5.5,"40,139",20.0,Cantonese (6.7%),06.7% Cantonese,43.6654704,-79.3525936
Rockcliffe–Smythe,4681.0,0.97,4826,-5.0,"28,723",16.3,Spanish (8.2%),08.2% Spanish,,
Roncesvalles,15996.0,1.98,8079,-4.9,"46,820",21.9,Polish (4.4%),04.4% Polish,43.6514426,-79.4510381
Rosedale,7672.0,2.72,2821,4.8,"213,941",11.3,Unspecified Chinese (1.0%),01.0% Unspecified Chinese,43.6783556,-79.3807457
Rouge,22724.0,28.72,791,175.0,"29,230",12.1,Tamil (15.6%),15.6% Tamil,43.8049304,-79.1658374
Rouge Hill,11167.0,3.88,2878,0.9,"32,858",13.5,Filipino (2.4%),02.4% Filipino,43.7802711,-79.1304992
Runnymede,4382.0,0.85,5155,-3.0,"42,635",17.3,Ukrainian (2.2%),02.2% Ukrainian,43.6517026,-79.4759978
Scarborough Junction,25780.0,7.41,3479,-3.6,"25,405",18.2,Tamil (4.2%),04.2% Tamil,43.7160494,-79.2607028
Scarborough City Centre,16403.0,2.58,6358,22.9,"26,756",14.6,Tamil (10.3%),10.3% Tamil,43.7169869,-79.2546806
Scarborough Village,12796.0,2.03,6303,-9.0,"24,413",16.2,Tamil (11.4%),11.4% Tamil,43.7437422,-79.2116324
Seaton Village,5259.0,0.62,8482,-6.0,"41,506",19.1,Portuguese (5.0%),05.0% Portuguese,43.6692756,-79.4159596
Silverthorn,17757.0,3.52,5045,-3.0,"26,291",15.8,Portuguese (11.8%),11.8% Portuguese,43.682123,-79.4715724
Smithfield,34996.0,6.45,5426,-7.2,"24,387",12.8,Punjabi (11.8%),11.8% Punjabi,43.631184,-79.4856673
South Hill,6218.0,1.26,4935,-3.8,"120,453",16.1,French (1.0%),01.0% French,43.6779261,-79.4057671
St. James Town,14666.0,0.23,"63,765",-10.0,"22,341",27.4,Filipino (8.1%),08.1% Filipino,43.6694032,-79.3727041
Steeles,24696.0,4.52,5464,1.9,"26,660",10.5,Cantonese (23.7%),23.7% Cantonese,43.8161778,-79.3145378
Summerhill,5100.0,0.65,7846,3.0,"88,937",17.5,Unspecified Chinese (1.1%),01.1% Unspecified Chinese,43.6816776,-79.3905037
